date;count;total_count;ratio
2008-01-01;0;131;0
2008-01-02;6;169;0.03550295857988166
2008-01-03;0;136;0
2008-01-04;0;184;0
2008-01-05;0;100;0
2008-01-06;0;109;0
2008-01-07;0;163;0
2008-01-08;0;239;0
2008-01-09;0;218;0
2008-01-10;0;246;0
2008-01-11;1;200;5
2008-01-12;0;135;0
2008-01-13;1;133;0.007518796992481203
2008-01-14;0;214;0
2008-01-15;0;212;0
2008-01-16;0;226;0
2008-01-17;0;199;0
2008-01-18;3;232;0.01293103448275862
2008-01-19;0;144;0
2008-01-20;0;165;0
2008-01-21;0;190;0
2008-01-22;0;234;0
2008-01-23;0;258;0
2008-01-24;0;244;0
2008-01-25;0;241;0
2008-01-26;0;121;0
2008-01-27;0;148;0
2008-01-28;0;231;0
2008-01-29;0;234;0
2008-01-30;0;216;0
2008-01-31;0;193;0
2008-02-01;0;210;0
2008-02-02;0;117;0
2008-02-03;0;131;0
2008-02-04;0;228;0
2008-02-05;2;219;0.0091324200913242
2008-02-06;0;187;0
2008-02-07;0;230;0
2008-02-08;0;197;0
2008-02-09;0;136;0
2008-02-10;0;201;0
2008-02-11;0;238;0
2008-02-12;1;250;4
2008-02-13;0;261;0
2008-02-14;1;227;0.004405286343612335
2008-02-15;0;235;0
2008-02-16;1;114;0.008771929824561403
2008-02-17;0;106;0
2008-02-18;0;215;0
2008-02-19;1;225;0.0044444444444444444
2008-02-20;2;278;0.007194244604316547
2008-02-21;0;264;0
2008-02-22;2;241;0.008298755186721992
2008-02-23;0;124;0
2008-02-24;0;143;0
2008-02-25;0;235;0
2008-02-26;0;235;0
2008-02-27;2;236;0.00847457627118644
2008-02-28;0;238;0
2008-02-29;0;201;0
2008-03-01;0;190;0
2008-03-02;0;142;0
2008-03-03;0;250;0
2008-03-04;1;225;0.0044444444444444444
2008-03-05;0;226;0
2008-03-06;0;241;0
2008-03-07;0;203;0
2008-03-08;0;120;0
2008-03-09;0;156;0
2008-03-10;0;275;0
2008-03-11;0;278;0
2008-03-12;0;290;0
2008-03-13;1;251;0.00398406374501992
2008-03-14;0;218;0
2008-03-15;0;92;0
2008-03-16;0;119;0
2008-03-17;0;236;0
2008-03-18;2;267;0.00749063670411985
2008-03-19;2;253;0.007905138339920948
2008-03-20;2;211;0.009478672985781991
2008-03-21;0;214;0
2008-03-22;0;109;0
2008-03-23;0;127;0
2008-03-24;2;229;0.008733624454148471
2008-03-25;0;233;0
2008-03-26;0;239;0
2008-03-27;1;229;0.004366812227074236
2008-03-28;0;375;0
2008-03-29;0;117;0
2008-03-30;0;149;0
2008-03-31;0;257;0
2008-04-01;0;350;0
2008-04-02;0;318;0
2008-04-03;0;332;0
2008-04-04;0;300;0
2008-04-05;0;138;0
2008-04-06;1;179;0.00558659217877095
2008-04-07;0;333;0
2008-04-08;0;343;0
2008-04-09;0;356;0
2008-04-10;4;364;0.01098901098901099
2008-04-11;0;1761;0
2008-04-12;0;206;0
2008-04-13;0;177;0
