date;count;total_count;ratio
2008-01-01;1;131;0.007633587786259542
2008-01-02;4;169;0.023668639053254437
2008-01-03;2;136;0.014705882352941176
2008-01-04;1;184;0.005434782608695652
2008-01-05;2;100;0.02
2008-01-06;2;109;0.01834862385321101
2008-01-07;4;163;0.024539877300613498
2008-01-08;2;239;0.008368200836820083
2008-01-09;0;218;0
2008-01-10;5;246;0.02032520325203252
2008-01-11;5;200;25
2008-01-12;2;135;0.014814814814814815
2008-01-13;6;133;0.045112781954887216
2008-01-14;5;214;0.02336448598130841
2008-01-15;10;212;0.04716981132075472
2008-01-16;7;226;0.030973451327433628
2008-01-17;4;199;0.020100502512562814
2008-01-18;8;232;0.034482758620689655
2008-01-19;4;144;0.027777777777777776
2008-01-20;3;165;0.01818181818181818
2008-01-21;3;190;0.015789473684210527
2008-01-22;4;234;0.017094017094017096
2008-01-23;5;258;0.01937984496124031
2008-01-24;4;244;0.01639344262295082
2008-01-25;10;241;0.04149377593360996
2008-01-26;4;121;0.03305785123966942
2008-01-27;1;148;0.006756756756756757
2008-01-28;5;231;0.021645021645021644
2008-01-29;7;234;0.029914529914529916
2008-01-30;5;216;0.023148148148148147
2008-01-31;3;193;0.015544041450777202
2008-02-01;5;210;0.023809523809523808
2008-02-02;9;117;0.07692307692307693
2008-02-03;4;131;0.030534351145038167
2008-02-04;8;228;0.03508771929824561
2008-02-05;6;219;0.0273972602739726
2008-02-06;3;187;0.016042780748663103
2008-02-07;0;230;0
2008-02-08;4;197;0.02030456852791878
2008-02-09;3;136;0.022058823529411766
2008-02-10;8;201;0.03980099502487562
2008-02-11;2;238;0.008403361344537815
2008-02-12;7;250;28
2008-02-13;7;261;0.02681992337164751
2008-02-14;7;227;0.030837004405286344
2008-02-15;7;235;0.029787234042553193
2008-02-16;4;114;0.03508771929824561
2008-02-17;6;106;0.05660377358490566
2008-02-18;4;215;0.018604651162790697
2008-02-19;3;225;0.013333333333333334
2008-02-20;5;278;0.017985611510791366
2008-02-21;11;264;0.041666666666666664
2008-02-22;2;241;0.008298755186721992
2008-02-23;3;124;0.024193548387096774
2008-02-24;3;143;0.02097902097902098
2008-02-25;2;235;0.00851063829787234
2008-02-26;5;235;0.02127659574468085
2008-02-27;4;236;0.01694915254237288
2008-02-28;4;238;0.01680672268907563
2008-02-29;7;201;0.03482587064676617
2008-03-01;2;190;0.010526315789473684
2008-03-02;9;142;0.06338028169014084
2008-03-03;12;250;48
2008-03-04;1;225;0.0044444444444444444
2008-03-05;5;226;0.022123893805309734
2008-03-06;5;241;0.02074688796680498
2008-03-07;6;203;0.029556650246305417
2008-03-08;1;120;0.008333333333333333
2008-03-09;1;156;0.00641025641025641
2008-03-10;3;275;0.01090909090909091
2008-03-11;5;278;0.017985611510791366
2008-03-12;5;290;0.017241379310344827
2008-03-13;5;251;0.0199203187250996
2008-03-14;18;218;0.08256880733944955
2008-03-15;2;92;0.021739130434782608
2008-03-16;5;119;0.04201680672268908
2008-03-17;7;236;0.029661016949152543
2008-03-18;1;267;0.003745318352059925
2008-03-19;4;253;0.015810276679841896
2008-03-20;4;211;0.018957345971563982
2008-03-21;10;214;0.04672897196261682
2008-03-22;1;109;0.009174311926605505
2008-03-23;3;127;0.023622047244094488
2008-03-24;5;229;0.021834061135371178
2008-03-25;3;233;0.012875536480686695
2008-03-26;5;239;0.02092050209205021
