date;count;total_count;ratio
2008-01-01;17;131;0.1297709923664122
2008-01-02;15;169;0.08875739644970414
2008-01-03;14;136;0.10294117647058823
2008-01-04;30;184;0.16304347826086957
2008-01-05;12;100;0.12
2008-01-06;13;109;0.11926605504587157
2008-01-07;13;163;0.07975460122699386
2008-01-08;13;239;0.05439330543933055
2008-01-09;22;218;0.10091743119266056
2008-01-10;25;246;0.1016260162601626
2008-01-11;22;200;0.11
2008-01-12;8;135;0.05925925925925926
2008-01-13;13;133;0.09774436090225563
2008-01-14;18;214;0.08411214953271028
2008-01-15;9;212;0.04245283018867924
2008-01-16;18;226;0.07964601769911504
2008-01-17;20;199;0.10050251256281408
2008-01-18;23;232;0.09913793103448276
2008-01-19;18;144;125
2008-01-20;17;165;0.10303030303030303
2008-01-21;18;190;0.09473684210526316
2008-01-22;15;234;0.0641025641025641
2008-01-23;18;258;0.06976744186046512
2008-01-24;13;244;0.05327868852459016
2008-01-25;17;241;0.07053941908713693
2008-01-26;11;121;0.09090909090909091
2008-01-27;17;148;0.11486486486486487
2008-01-28;31;231;0.1341991341991342
2008-01-29;25;234;0.10683760683760683
2008-01-30;21;216;0.09722222222222222
2008-01-31;16;193;0.08290155440414508
2008-02-01;15;210;0.07142857142857142
2008-02-02;13;117;0.1111111111111111
2008-02-03;13;131;0.09923664122137404
2008-02-04;21;228;0.09210526315789473
2008-02-05;12;219;0.0547945205479452
2008-02-06;27;187;0.1443850267379679
2008-02-07;13;230;0.05652173913043478
2008-02-08;17;197;0.08629441624365482
2008-02-09;12;136;0.08823529411764706
2008-02-10;15;201;0.07462686567164178
2008-02-11;20;238;0.08403361344537816
2008-02-12;18;250;72
2008-02-13;20;261;0.07662835249042145
2008-02-14;18;227;0.07929515418502203
2008-02-15;33;235;0.14042553191489363
2008-02-16;10;114;0.08771929824561403
2008-02-17;14;106;0.1320754716981132
2008-02-18;20;215;0.09302325581395349
2008-02-19;20;225;0.08888888888888889
2008-02-20;21;278;0.07553956834532374
2008-02-21;35;264;0.13257575757575757
2008-02-22;24;241;0.0995850622406639
2008-02-23;10;124;0.08064516129032258
2008-02-24;10;143;0.06993006993006994
2008-02-25;31;235;0.13191489361702127
2008-02-26;27;235;0.1148936170212766
2008-02-27;29;236;0.1228813559322034
2008-02-28;27;238;0.1134453781512605
2008-02-29;18;201;0.08955223880597014
2008-03-01;12;190;0.06315789473684211
2008-03-02;16;142;0.11267605633802817
2008-03-03;26;250;104
2008-03-04;21;225;0.09333333333333334
2008-03-05;25;226;0.11061946902654868
2008-03-06;17;241;0.07053941908713693
2008-03-07;18;203;0.08866995073891626
2008-03-08;10;120;0.08333333333333333
2008-03-09;17;156;0.10897435897435898
2008-03-10;24;275;0.08727272727272728
2008-03-11;19;278;0.0683453237410072
2008-03-12;17;290;0.05862068965517241
2008-03-13;19;251;0.07569721115537849
2008-03-14;20;218;0.09174311926605505
2008-03-15;5;92;0.05434782608695652
2008-03-16;8;119;0.06722689075630252
2008-03-17;25;236;0.1059322033898305
2008-03-18;38;267;0.14232209737827714
2008-03-19;26;253;0.10276679841897234
2008-03-20;12;211;0.05687203791469194
2008-03-21;22;214;0.102803738317757
2008-03-22;11;109;0.10091743119266056
2008-03-23;11;127;0.08661417322834646
2008-03-24;22;229;0.09606986899563319
2008-03-25;24;233;0.10300429184549356
2008-03-26;17;239;0.07112970711297072
2008-03-27;24;229;0.10480349344978165
2008-03-28;42;375;112
2008-03-29;6;117;0.05128205128205128
2008-03-30;17;149;0.11409395973154363
2008-03-31;19;257;0.07392996108949416
2008-04-01;31;350;0.08857142857142856
2008-04-02;24;318;0.07547169811320754
2008-04-03;27;332;0.08132530120481928
2008-04-04;17;300;0.056666666666666664
2008-04-05;7;138;0.050724637681159424
2008-04-06;21;179;0.11731843575418995
2008-04-07;28;333;0.08408408408408409
2008-04-08;22;343;0.0641399416909621
2008-04-09;33;356;0.09269662921348315
2008-04-10;26;364;0.07142857142857142
2008-04-11;126;1761;0.07155025553662692
2008-04-12;19;206;0.09223300970873786
2008-04-13;20;177;0.11299435028248588
2008-04-14;29;335;0.08656716417910448
2008-04-15;119;1418;0.08392101551480959
2008-04-16;39;339;0.11504424778761062
