"Name","Link","Description","Category"
"1st Playable","https://1stplayable.com/","VR game development studio creating immersive interactive experiences.","Technology"
"2D/3D Animation","https://www.2d3danimations.com/","Provides immersive animation tools for VR and fulldome content creation.","Technology"
"360 Art","http://www.360art.pro/","Produces immersive art for fulldome theaters and VR platforms, blending creative storytelling and interactive technology.","Artists"
"3Play Media","https://3playmedia.com/","Offers immersive captioning and accessibility solutions for VR and video content.","Technology"
"4DX","https://www.cj4dx.com/","Immersive cinema technology with motion seats and environmental effects in theaters worldwide.","Technology"
"5WPR","https://www.5wpr.com/","PR agency specializing in immersive marketing campaigns with VR and AR integrations.","Agencies"
"7th Sense","https://www.7thsense.onl/","Provides immersive media servers for real-time video and projection mapping.","Technology"
"8th Wall","https://www.8thwall.com/","WebAR provider enabling AR experiences directly in browsers, widely used for interactive campaigns and storytelling.","Technology"
"A3 Visual","https://a3visual.com/","An immersive production company specializing in projection mapping, LED displays, and fulldome content across live events, entertainment, and education.","Agencies"
"ABBA Voyage","https://abbavoyage.com/","An immersive concert featuring digital recreations of the band members performing live, blending virtual avatars with physical stage elements, redefining the live music experience.","Events"
"Adriaan Lokman","https://lokman.space/","A VR artist known for abstract animation. His piece Flow explores minimalism in motion through immersive environments.","Artists"
"African Planetarium Association (APA)","https://www.facebook.com/p/African-Planetarium-Association-APA-100057511956871/","A network promoting immersive technologies and educational content in African planetariums.","Associations"
"Agency Immersive","https://agencyimmersive.com/","An immersive production company focusing on innovative event solutions.","Agencies"
"Ai Weiwei","https://aiweiwei.com/","Chinese artist with VR projects exploring social issues like refugees and surveillance.","Artists"
"Airstructures","https://www.tat-airstructures.com/","Specializes in inflatable structures for mobile domes, enabling immersive events without permanent infrastructure.","Venues"
"AltspaceVR","https://en.wikipedia.org/wiki/AltspaceVR","A social VR platform for meetups, workshops, and events, acquired by Microsoft and known for stable performance and community features.","Technology"
"AmazeVR","https://www.amazevr.com/","Brings VR to music by offering immersive concert experiences and new ways for fans to engage with artists.","Events"
"Anish Kapoor","https://anishkapoor.com/","British-Indian sculptor using VR for infinite space and reflection experiences in installations.","Artists"
"Andreas Blattmann","https://stablediffusionweb.com/","Co-author of the Stable Diffusion paper, contributing to AI-driven immersive visuals.","Technology"
"Apple","https://www.apple.com/apple-vision-pro/","With its Vision Pro headset, Apple enters spatial computing, merging AR and VR with ecosystem integration and design innovation.","Technology"
"Arcturus","https://arcturus.studio/","A leader in volumetric video tools for VR and AR, enabling the creation of realistic 3D experiences.","Technology"
"Area15","https://www.area15.com/","Immersive entertainment district in Las Vegas with VR, art, and themed experiences like Omega Mart.","Venues"
"Artbreeder","https://www.artbreeder.com/","Particularly useful for artists creating immersive worlds, Artbreeder allows the combination of images to craft unique characters or landscapes.","Technology"
"Atelier des Lumières","https://www.atelier-lumieres.com/","Digital art theater in Paris with exhibitions like 'Egypt at the Pharaohs' using projections.","Venues"
"Atelier Markgraph","https://www.markgraph.de/","Based in Frankfurt, they specialize in immersive spatial experiences using AR—for clients like Phoenix Contact and Mercedes-Benz.","Agencies"
"Australasian Planetarium Society (APS)","https://apsplanetarium.com/","This society connects planetarium professionals across Australia and New Zealand, fostering immersive technology and content in Fulldome theaters.","Associations"
"Avitron","https://www.avitron.gr/audiovisual-projects-gallery/live-events/","Greece-based audiovisual solutions provider delivering live events with immersive LED walls, projection mapping, lighting design, and synchronized multimedia content for corporate, cultural, and entertainment productions.","Agencies"
"AWE (Augmented World Expo)","https://www.awexr.com/","A leading AR/VR/XR conference that brings together developers, brands, and innovators to showcase immersive technologies.","Events"
"Barco","https://www.barco.com/","Offers immersive LED visualization systems for large-scale events and venues.","Technology"
"Bassins des Lumières","https://www.bassins-lumieres.com/","Digital art center in Bordeaux, France, in a WW2 submarine base with programs like 'Egyptian Pharaohs.'","Venues"
"BCD Meetings & Events","https://bcdme.com/en-gb/what-we-do/","Global meetings and events agency that goes beyond logistics to design immersive brand experiences. Their in-house Creative Services team blends storytelling, interactive staging, advanced event tech, and sensory design to create impactful multi-sensory events aligned with client goals.","Agencies"
"BeWunder","https://bewunder.com/","A technical planner specializing in immersive project execution and spatial experiences for large-scale events.","Agencies"
"Bhaumik Patel","https://www.instagram.com/i.am.bhaumikpatel/?hl=en","Known for creating educational immersive VR experiences like Museum Alive with David Attenborough.","Artists"
"Bigscreen","https://www.bigscreenvr.com/","A social VR platform focused on media sharing and virtual movie theaters, enabling shared viewing in VR.","Technology"
"Björk","https://bjork.com/","Icelandic artist known for interactive projects like Biophilia VR, blending music and immersive technology.","Artists"
"Blackmagic (Ursa Immersive Camera)","https://www.blackmagicdesign.com","Their URSA Cine Immersive camera is tailored for ultra-high-resolution 360° and stereoscopic VR formats, ideal for Vision Pro workflows.","Technology"
"Blippar","https://www.blippar.com/","A provider of AR solutions for mobile and enterprise applications, with SDKs, visual recognition, and creation tools.","Technology"
"Brainz Immersive","https://immersive.cz/","Prague-based full-service immersive creative studio crafting premium VR & AR experiences—ranging from XR configurators and virtual training platforms to gamified brand activations and art installations.","Agencies"
"British Association of Planetaria (BAP)","https://www.planetaria.org.uk/","Supports planetariums in the UK and promotes immersive science and educational content.","Associations"
"Bunker des Lumières","https://www.bunkerdeslumieres.com/","WW2 bunker on Jeju Island, South Korea, hosting immersive digital exhibitions with high ceilings.","Venues"
"Burning Man VR","https://brcvr.org/","A virtual recreation of the Burning Man festival (BRCvr) that merges immersive art, community, and blockchain through VR platforms.","Events"
"Céline Tricart","https://www.celine-tricart.com/","VR filmmaker of The Key, known for emotional, interactive narratives in virtual reality.","Artists"
"Celine Daemen","https://en.studionergens.com/","Artist behind immersive VR opera Songs for a Passerby—blending musical theater and virtual interactivity.","Artists"
"Chris Milk (Within VR)","https://www.youtube.com/watch?v=iXHil1TPxvA","Pioneer of immersive storytelling, founder of Within and VR projects like Evolution of Verse.","Artists"
"Cibelle Cavalli Bastos","https://cibellecavallibastos.com/","Brazilian artist blending music and digital art in VR installations exploring fragmented identities.","Artists"
"Ciudad de las Artes y las Ciencias","https://cac.es/en/","Futuristic venue in Valencia, Spain, with Fulldome shows and immersive science exhibits.","Venues"
"Cogs & Marvel","https://www.cogsandmarvel.com/","Experiential agency with offices in Dublin and San Francisco, creating immersive brand activations, live events, and digital experiences—blending strategic design, storytelling, and technology to inspire audience connection.","Agencies"
"Colorado EDU","https://www.colorado.edu/fiske/productions","Designs immersive educational content for fulldome theaters in K-12 and community learning.","Associations"
"Cosm","https://www.cosm.com/","Immersive venues in various locations (e.g., Los Angeles, Dallas) with Shared Reality LED dome for sports and entertainment.","Venues"
"Creative Planet","https://www.instagram.com/creativeplanetproductions/?hl=en","International production house for fulldome and planetarium content, combining science and visual storytelling.","Agencies"
