country,country_label,planetarium_name,google_maps_link,translated_planetarium_name,iso_match_name,iso_alpha_2,iso_alpha_3,official_name
Algeria,Algeria 1,Planétarium - la coupole,"https://www.google.com/maps?q=35.193805,-0.6331005",,Algeria,DZ,DZA,People's Democratic Republic of Algeria
Algeria,Algeria 2,Planétarium de Ghardaia,"https://www.google.com/maps?q=32.5035061,3.6841345",,Algeria,DZ,DZA,People's Democratic Republic of Algeria
Algeria,Algeria 3,Planétarium d'Alger,"https://www.google.com/maps?q=36.7772886,3.0542537",,Algeria,DZ,DZA,People's Democratic Republic of Algeria
Argentina,Argentina 1,Centro Astronómico Antoine de Saint Exupéry,"https://www.google.com/maps?q=-43.2460203,-65.2987268",,Argentina,AR,ARG,Argentine Republic
Argentina,Argentina 2,"Centro de Interpretación y Planetario ""Elsa Feher Rosenvasser""","https://www.google.com/maps?q=-47.1356478,-70.6364093",,Argentina,AR,ARG,Argentine Republic
Argentina,Argentina 3,El Leoncito,"https://www.google.com/maps?q=-31.7985772,-69.2955952",,Argentina,AR,ARG,Argentine Republic
Argentina,Argentina 4,No-Name,"https://www.google.com/maps?q=-31.2135046,-64.1589998",,Argentina,AR,ARG,Argentine Republic
Argentina,Argentina 5,No-Name,"https://www.google.com/maps?q=-33.9006586,-60.564091",,Argentina,AR,ARG,Argentine Republic
Argentina,Argentina 6,No-Name,"https://www.google.com/maps?q=-31.4319137,-64.185422",,Argentina,AR,ARG,Argentine Republic
Argentina,Argentina 7,No-Name,"https://www.google.com/maps?q=-26.7228445,-66.0672747",,Argentina,AR,ARG,Argentine Republic
Argentina,Argentina 8,Observatorio,"https://www.google.com/maps?q=-29.1548516,-59.6459433",,Argentina,AR,ARG,Argentine Republic
Argentina,Argentina 9,Planetario Galileo Galilei,"https://www.google.com/maps?q=-34.5696495,-58.411721",,Argentina,AR,ARG,Argentine Republic
Argentina,Argentina 10,Planetario Janaxpacha Wasi,"https://www.google.com/maps?q=-27.5255479,-65.9914008",,Argentina,AR,ARG,Argentine Republic
Armenia,Armenia 1,No-Name,"https://www.google.com/maps?q=40.1746182,44.5087939",,Armenia,AM,ARM,Republic of Armenia
Australia,Australia 1,Launceston Planetarium,"https://www.google.com/maps?q=-41.4282963,147.1409558",,Australia,AU,AUS,Australia
Australia,Australia 2,Melbourne Planetarium,"https://www.google.com/maps?q=-37.832234,144.8937617",,Australia,AU,AUS,Australia
Australia,Australia 3,Sir Thomas Brisbane Planetarium,"https://www.google.com/maps?q=-27.4757407,152.976964",,Australia,AU,AUS,Australia
Australia,Australia 4,Ulverstone Planetarium,"https://www.google.com/maps?q=-41.1573229,146.1758479",,Australia,AU,AUS,Australia
Austria,Austria 1,Planetarium,"https://www.google.com/maps?q=48.2161343,16.3949316",,Austria,AT,AUT,Republic of Austria
Austria,Austria 2,Planetarium Judenburg,"https://www.google.com/maps?q=47.1681994,14.6612772",,Austria,AT,AUT,Republic of Austria
Austria,Austria 3,Planetarium Klagenfurt,"https://www.google.com/maps?q=46.6193365,14.2656724",,Austria,AT,AUT,Republic of Austria
Azerbaijan,Azerbaijan 1,Observatoriya \ Pirqulu,"https://www.google.com/maps?q=40.7812538,48.5989843",,Azerbaijan,AZ,AZE,Republic of Azerbaijan
Azerbaijan,Azerbaijan 2,Rəsədxana,"https://www.google.com/maps?q=40.7818772,48.5983242",,Azerbaijan,AZ,AZE,Republic of Azerbaijan
Azerbaijan,Azerbaijan 3,Zeiss-2000,"https://www.google.com/maps?q=40.7806662,48.5972057",,Azerbaijan,AZ,AZE,Republic of Azerbaijan
Bangladesh,Bangladesh 1,Bhasani Novo Theatre,"https://www.google.com/maps?q=23.7638083,90.3869651",,Bangladesh,BD,BGD,People's Republic of Bangladesh
Bangladesh,Bangladesh 2,Novo Theatre,"https://www.google.com/maps?q=24.3688959,88.5714637",,Bangladesh,BD,BGD,People's Republic of Bangladesh
Bangladesh,Bangladesh 3,নভোথিয়েটার,"https://www.google.com/maps?q=23.7638264,90.3877705",Novo Theatre,Bangladesh,BD,BGD,People's Republic of Bangladesh
Belarus,Belarus 1,Планетарый,"https://www.google.com/maps?q=53.9042849,27.5735387",Planetarium,Belarus,BY,BLR,Republic of Belarus
Belgium,Belgium 1,Cosmodrome,"https://www.google.com/maps?q=50.9579143,5.5369462",,Belgium,BE,BEL,Kingdom of Belgium
Belgium,Belgium 2,Cozmix,"https://www.google.com/maps?q=51.1768079,3.1529366",,Belgium,BE,BEL,Kingdom of Belgium
Belgium,Belgium 3,Planetarium,"https://www.google.com/maps?q=50.893339,4.3372106",,Belgium,BE,BEL,Kingdom of Belgium
Belgium,Belgium 4,Urania Planetarium,"https://www.google.com/maps?q=51.1443268,4.4654809",,Belgium,BE,BEL,Kingdom of Belgium
Bolivia,Bolivia 1,Planetario Max Schreier - Fisica UMSA,"https://www.google.com/maps?q=-16.5037619,-68.1292846",,"Bolivia, Plurinational State of",BO,BOL,Plurinational State of Bolivia
Bolivia,Bolivia 2,Planetario MultiProyector GOTO-GS,"https://www.google.com/maps?q=-21.5956732,-64.6240244",,"Bolivia, Plurinational State of",BO,BOL,Plurinational State of Bolivia
Bolivia,Bolivia 3,Planetario de Física,"https://www.google.com/maps?q=-16.5037663,-68.1293071",,"Bolivia, Plurinational State of",BO,BOL,Plurinational State of Bolivia
Bolivia,Bolivia 4,Planetario y Observatorio Astronómico Ronald Muyzert,"https://www.google.com/maps?q=-16.5307823,-68.1487919",,"Bolivia, Plurinational State of",BO,BOL,Plurinational State of Bolivia
Bolivia,Bolivia 5,Science Corner CBA,"https://www.google.com/maps?q=-17.7835828,-63.1776819",,"Bolivia, Plurinational State of",BO,BOL,Plurinational State of Bolivia
Bosnia and Herzegovina,Bosnia and Herzegovina 1,Astronomska opservatorija,"https://www.google.com/maps?q=43.8422303,18.4381781",,Bosnia and Herzegovina,BA,BIH,Republic of Bosnia and Herzegovina
Brasilien,Brasilien 1,Estação Metereológica,"https://www.google.com/maps?q=-0.7276143,-48.5158534",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 1,Antigo Planetário,"https://www.google.com/maps?q=-22.1156101,-43.2046807",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 2,Brisolão,"https://www.google.com/maps?q=-22.3059797,-42.5432122",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 3,Centro de Ciências e Planetário do Pará,"https://www.google.com/maps?q=-1.3839873,-48.4385116",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 4,No-Name,"https://www.google.com/maps?q=-20.5456675,-47.4023969",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 5,No-Name,"https://www.google.com/maps?q=-16.6637709,-49.253717",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 6,No-Name,"https://www.google.com/maps?q=-15.8771725,-52.313779",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 7,No-Name,"https://www.google.com/maps?q=-14.8512371,-40.8503383",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 8,No-Name,"https://www.google.com/maps?q=-22.268695,-48.1189785",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 9,No-Name,"https://www.google.com/maps?q=-20.8149684,-49.4145445",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 10,No-Name,"https://www.google.com/maps?q=-22.9781004,-43.2303166",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 11,No-Name,"https://www.google.com/maps?q=-27.6034057,-48.5225597",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 12,Planetário,"https://www.google.com/maps?q=-15.7876713,-47.8989351",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 13,Planetário,"https://www.google.com/maps?q=-9.7529318,-36.6793711",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 14,Planetário,"https://www.google.com/maps?q=-15.8771543,-52.3137799",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 15,"Planetário ""Doutor Odorico Nilo Menin Filho""","https://www.google.com/maps?q=-22.190926,-51.3815615",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 16,Planetário CCTECA,"https://www.google.com/maps?q=-10.9444152,-37.0560435",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 17,Planetário CIENTEC,"https://www.google.com/maps?q=-23.6508224,-46.6225582",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 18,Planetário Digital,"https://www.google.com/maps?q=-26.9089514,-48.6539116",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 19,Planetário Espaço-Nave,"https://www.google.com/maps?q=-22.95933,-42.9538994",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 20,Planetário Juan Bernardino Marques Barrio,"https://www.google.com/maps?q=-16.6629407,-49.2539052",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 21,Planetário MAAS,"https://www.google.com/maps?q=-22.9030067,-46.8279305",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 22,Planetário PUC Minas,"https://www.google.com/maps?q=-19.9225165,-43.9899995",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 23,Planetário Professor  Benedito Rela,"https://www.google.com/maps?q=-22.9995774,-46.8341886",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 24,Planetário Professor José Baptista Pereira,"https://www.google.com/maps?q=-30.0437235,-51.2079923",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 25,Planetário Professor José Mariano da Rocha Filho,"https://www.google.com/maps?q=-29.7200536,-53.7172827",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 26,Planetário Rubens de Azevedo,"https://www.google.com/maps?q=-3.7215299,-38.520236",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 27,Planetário da Gávea,"https://www.google.com/maps?q=-22.9781446,-43.2302604",,Brazil,BR,BRA,Federative Republic of Brazil
Brazil,Brazil 28,Planetário da Unipampa,"https://www.google.com/maps?q=-31.3068165,-54.0649699",,Brazil,BR,BRA,Federative Republic of Brazil
