iso_alpha_3,region_name_en,planetariums_count,population,planetariums_per_million,gdp_per_capita_usd,education_expected_years,population_with_tertiary_percent,region_patents_2023,region_patents_per_million,region_patents_per_planetarium,culture_expenditure_per_capita_usd,culture_expenditure_total_usd,culture_expenditure_per_planetarium_usd
USA,United States,175,336806231.0,0.5195865868645405,85809.9003846356,15.92300034,,,,,,,
RUS,Russian Federation,53,143826130.0,0.3685004943121253,14889.0185546875,13.18515015,27.0,,,,,,
ITA,Italy,49,58993475.0,0.8306003333419502,40226.0472416173,16.71419907,,,,,,,
JPN,Japan,47,124516650.0,0.3774595606290403,32475.8924992191,15.51198006,49.0,,,,,,
DEU,Germany,44,83901923.0,0.5244218299978655,55800.2194549412,17.30921936,53.0,,,,,,
BRA,Brazil,40,211140729.0,0.1894471056789805,10280.3148624429,15.7927103,,,,,,,
FRA,France,37,68287487.0,0.5418269382207608,46150.4876861593,16.09511948,,,,,161.11,11001797030.570002,297345865.6910811
IND,India,35,1438069596.0,0.0243381823086676,2696.66389984463,12.95454025,,,,,,,
MEX,Mexico,26,129739759.0,0.2004011738606667,14157.9445835849,14.46811008,26.0,,,,11.09,1438813927.31,55338997.20423077
CHN,China,26,1410710000.0,0.0184304357380326,13303.1481543868,15.4787495,,,,,,,
CZE,Czechia,20,10864042.0,1.840935445573572,31706.6234229743,16.7935009,58.0,,,,172.07,1869375706.9399998,93468785.34699999
ESP,Spain,16,48347910.0,0.3309346774245257,35297.0094995565,17.83031082,,,,,62.16,3005306085.6,187831630.35
IRN,"Iran, Islamic Republic of",14,90608707.0,0.1545105372709931,4771.40029026226,,,,,,,,
ARG,Argentina,10,45538401.0,0.2195948865222562,13858.2039802008,18.83120918,,,,,,,
KOR,"Korea, Republic of",10,51712619.0,0.1933763981282789,33121.3712885508,,44.0,,,,,,
GBR,United Kingdom,10,68492000.0,0.1460024528412077,52636.7865943853,17.81106949,52.0,,,,,,
UKR,Ukraine,10,37732836.0,0.2650211608796116,5389.47314453125,13.32800961,,,,,,,
